epoch,step,train_loss
0,49,9.115716934204102
0,99,9.523554801940918
0,149,9.746708869934082
0,199,9.415450096130371
0,249,9.209797859191895
0,299,9.220647811889648
0,349,9.71236515045166
0,399,9.53160572052002
0,449,9.224481582641602
0,499,9.495756149291992
0,549,9.235823631286621
0,599,8.72716999053955
0,649,9.3558349609375
0,699,9.582719802856445
0,749,9.415850639343262
0,799,9.614934921264648
0,849,9.866636276245117
0,899,9.605379104614258
0,949,9.221199035644531
0,999,9.660924911499023
0,1049,9.495858192443848
0,1099,9.4498929977417
0,1149,9.263511657714844
0,1199,9.486212730407715
0,1249,9.353610038757324
0,1299,9.379718780517578
0,1349,9.250025749206543
0,1399,9.327454566955566
0,1449,8.72702407836914
0,1499,9.320049285888672
0,1549,9.506251335144043
0,1599,9.4234037399292
0,1649,9.223920822143555
0,1699,9.60210132598877
